timestamp,value,status
2025-08-15T05:28:25.549948,2136,FULL
2025-08-15T05:28:26.629606,2136,FULL
2025-08-15T05:28:27.713228,3662,FULL
2025-08-15T05:28:28.801832,3662,FULL
2025-08-15T05:28:29.885504,3662,FULL
2025-08-15T05:28:30.968907,3662,FULL
2025-08-15T05:28:32.056057,3662,FULL
2025-08-15T05:28:33.151225,3662,FULL
2025-08-15T05:28:34.232369,3662,FULL
2025-08-15T05:28:35.325728,3662,FULL
2025-08-15T05:28:36.419144,3662,FULL
2025-08-15T05:28:37.514964,3662,FULL
2025-08-15T05:28:38.602052,3662,FULL
2025-08-15T05:28:39.674074,3662,FULL
2025-08-15T05:28:40.762624,3662,FULL
2025-08-15T05:28:41.850075,3662,FULL
2025-08-15T05:28:42.926464,3662,FULL
2025-08-15T05:28:44.013810,2136,FULL
2025-08-15T05:28:45.102318,2136,FULL
2025-08-15T05:28:46.186017,2136,FULL
2025-08-15T05:28:47.264815,2136,FULL
2025-08-15T05:28:48.349535,2136,FULL
2025-08-15T05:28:49.433952,2136,FULL
2025-08-15T05:28:50.529429,2136,FULL
2025-08-15T05:28:51.611120,2136,FULL
2025-08-15T05:28:52.692268,2136,FULL
2025-08-15T05:28:53.788844,2136,FULL
2025-08-15T05:28:54.873446,2136,FULL
2025-08-15T05:28:55.963159,2136,FULL
2025-08-15T05:28:57.046283,2136,FULL
2025-08-15T05:28:58.133511,2136,FULL
2025-08-15T05:28:59.223293,3356,FULL
2025-08-15T05:29:00.313728,3356,FULL
2025-08-15T05:29:01.403267,3356,FULL
2025-08-15T05:29:02.489178,3356,FULL
2025-08-15T05:29:03.571660,3356,FULL
2025-08-15T05:29:04.649555,3356,FULL
2025-08-15T05:29:05.727900,3356,FULL
2025-08-15T05:29:06.813186,3356,FULL
2025-08-15T05:29:07.910195,3356,FULL
2025-08-15T05:29:08.986581,3356,FULL
2025-08-15T05:29:10.068888,3356,FULL
2025-08-15T05:29:11.129103,3356,FULL
2025-08-15T05:29:12.221880,3356,FULL
2025-08-15T05:29:13.311699,3356,FULL
2025-08-15T05:29:14.393008,3356,FULL
2025-08-15T05:29:15.487591,2441,FULL
2025-08-15T05:29:16.576204,2441,FULL
2025-08-15T05:29:17.679983,2441,FULL
2025-08-15T05:29:18.771041,2441,FULL
2025-08-15T05:29:19.849900,2441,FULL
2025-08-15T05:29:20.932512,2441,FULL
2025-08-15T05:29:22.022278,2441,FULL
2025-08-15T05:29:23.107055,2441,FULL
2025-08-15T05:29:24.196216,2441,FULL
2025-08-15T05:29:25.295041,2441,FULL
2025-08-15T05:29:26.384761,2441,FULL
2025-08-15T05:29:27.466453,2441,FULL
2025-08-15T05:29:28.551185,2441,FULL
2025-08-15T05:29:29.630890,2441,FULL
2025-08-15T05:29:30.707372,3356,FULL
2025-08-15T05:29:31.785613,3356,FULL
2025-08-15T05:29:32.870587,3356,FULL
2025-08-15T05:29:33.948357,3356,FULL
2025-08-15T05:29:35.032744,3356,FULL
2025-08-15T05:29:36.123631,3356,FULL
2025-08-15T05:29:37.211676,3356,FULL
2025-08-15T05:29:38.291545,3356,FULL
2025-08-15T05:29:39.387899,3356,FULL
2025-08-15T05:29:40.471722,3356,FULL
2025-08-15T05:29:41.550869,3356,FULL
2025-08-15T05:29:42.631107,3356,FULL
2025-08-15T05:29:43.708540,3356,FULL
2025-08-15T05:29:44.792528,3356,FULL
2025-08-15T05:29:45.866493,2136,FULL
2025-08-15T05:29:46.949967,2136,FULL
2025-08-15T05:29:48.031870,2136,FULL
2025-08-15T05:29:49.123969,2136,FULL
2025-08-15T05:29:50.211056,2136,FULL
2025-08-15T05:29:51.292026,2136,FULL
2025-08-15T05:29:52.371357,2136,FULL
2025-08-15T05:29:53.452139,2136,FULL
2025-08-15T05:29:54.542897,2136,FULL
2025-08-15T05:29:55.628677,2136,FULL
2025-08-15T05:29:56.708058,2136,FULL
2025-08-15T05:29:57.794800,2136,FULL
2025-08-15T05:29:58.882491,2136,FULL
2025-08-15T05:29:59.966687,2136,FULL
2025-08-15T05:30:01.042869,2136,FULL
2025-08-15T05:30:02.132643,1525,FULL
2025-08-15T05:30:03.234921,1525,FULL
2025-08-15T05:30:04.330522,1525,FULL
2025-08-15T05:30:05.410907,1525,FULL
2025-08-15T05:30:06.493848,1525,FULL
2025-08-15T05:30:07.585297,1525,FULL
2025-08-15T05:30:08.668879,1525,FULL
2025-08-15T05:30:09.750759,1525,FULL
2025-08-15T05:30:10.833385,1525,FULL
2025-08-15T05:30:11.923158,1525,FULL
2025-08-15T05:30:13.009826,1525,FULL
2025-08-15T05:30:14.096027,1525,FULL
2025-08-15T05:30:15.194975,1525,FULL
2025-08-15T05:30:16.273116,1525,FULL
2025-08-15T05:30:17.365124,1831,FULL
2025-08-15T05:30:18.445741,1831,FULL
2025-08-15T05:30:19.538137,1831,FULL
2025-08-15T05:30:20.639206,1831,FULL
2025-08-15T05:30:21.733457,1831,FULL
2025-08-15T05:30:22.825874,1831,FULL
2025-08-15T05:30:23.912280,1831,FULL
2025-08-15T05:30:25.004640,1831,FULL
2025-08-15T05:30:26.088867,1831,FULL
2025-08-15T05:30:27.173317,1831,FULL
2025-08-15T05:30:28.261598,1831,FULL
2025-08-15T05:30:29.351220,1831,FULL
2025-08-15T05:30:30.427130,1831,FULL
2025-08-15T05:30:31.510345,1831,FULL
2025-08-15T05:30:32.593758,1831,FULL
2025-08-15T05:30:33.681491,3967,FULL
2025-08-15T05:30:34.771856,3967,FULL
2025-08-15T05:30:35.867587,3967,FULL
2025-08-15T05:30:36.951999,3967,FULL
2025-08-15T05:30:38.041768,3967,FULL
2025-08-15T05:30:39.123627,3967,FULL
2025-08-15T05:30:40.208975,3967,FULL
2025-08-15T05:30:41.276352,3967,FULL
2025-08-15T05:30:42.371368,3967,FULL
2025-08-15T05:30:43.451760,3967,FULL
2025-08-15T05:30:44.543147,3967,FULL
2025-08-15T05:30:45.625758,3967,FULL
2025-08-15T05:30:46.709210,3967,FULL
2025-08-15T05:30:47.793161,3967,FULL
2025-08-15T05:30:48.878434,1831,FULL
2025-08-15T05:30:49.977126,1831,FULL
2025-08-15T05:30:51.058989,1831,FULL
2025-08-15T05:30:52.152340,1831,FULL
2025-08-15T05:30:53.249179,1831,FULL
2025-08-15T05:30:54.331431,1831,FULL
2025-08-15T05:30:55.409334,1831,FULL
2025-08-15T05:30:56.488683,1831,FULL
2025-08-15T05:30:57.570152,1831,FULL
2025-08-15T05:30:58.648762,1831,FULL
2025-08-15T05:30:59.731602,1831,FULL
2025-08-15T05:31:00.808339,1831,FULL
2025-08-15T05:31:01.887332,1831,FULL
2025-08-15T05:31:02.969670,1831,FULL
2025-08-15T05:31:04.051043,915000,FULL
2025-08-15T05:31:05.132770,915000,FULL
2025-08-15T05:31:06.223809,915000,FULL
2025-08-15T05:31:07.309633,915000,FULL
2025-08-15T05:31:08.394199,915000,FULL
2025-08-15T05:31:09.481438,915000,FULL
2025-08-15T05:31:10.562823,915000,FULL
2025-08-15T05:31:11.646054,915000,FULL
2025-08-15T05:31:12.732304,915000,FULL
2025-08-15T05:31:13.826810,915000,FULL
2025-08-15T05:31:14.913588,915000,FULL
2025-08-15T05:31:16.002897,915000,FULL
2025-08-15T05:31:17.082691,915000,FULL
2025-08-15T05:31:18.165449,915000,FULL
2025-08-15T05:31:19.241396,915000,FULL
2025-08-15T05:31:20.330704,1525,FULL
2025-08-15T05:31:21.411687,1525,FULL
2025-08-15T05:31:22.506041,1525,FULL
2025-08-15T05:31:23.584975,1525,FULL
2025-08-15T05:31:24.670068,1525,FULL
2025-08-15T05:31:25.753509,1525,FULL
2025-08-15T05:31:26.842439,1525,FULL
2025-08-15T05:31:27.922660,1525,FULL
2025-08-15T05:31:29.007318,1525,FULL
2025-08-15T05:31:30.092365,1525,FULL
2025-08-15T05:31:31.183132,1525,FULL
2025-08-15T05:31:32.270991,1525,FULL
2025-08-15T05:31:33.354043,1525,FULL
2025-08-15T05:31:34.451928,1525,FULL
2025-08-15T05:31:35.542825,3356,FULL
2025-08-15T05:31:36.624810,3356,FULL
2025-08-15T05:31:37.729981,3356,FULL
2025-08-15T05:31:38.817575,3356,FULL
2025-08-15T05:31:39.914103,3356,FULL
2025-08-15T05:31:41.003886,3356,FULL
2025-08-15T05:31:42.091968,3356,FULL
2025-08-15T05:31:43.189005,3356,FULL
2025-08-15T05:31:44.273321,3356,FULL
2025-08-15T05:31:45.361647,3356,FULL
2025-08-15T05:31:46.447948,3356,FULL
2025-08-15T05:31:47.534560,3356,FULL
2025-08-15T05:31:48.624766,3356,FULL
2025-08-15T05:31:49.719425,3356,FULL
2025-08-15T05:31:50.815432,3356,FULL
2025-08-15T05:31:51.905246,1525,FULL
2025-08-15T05:31:52.984772,1525,FULL
2025-08-15T05:31:54.067631,1525,FULL
2025-08-15T05:31:55.156403,1525,FULL
2025-08-15T05:31:56.253702,1525,FULL
2025-08-15T05:31:57.342700,1525,FULL
2025-08-15T05:31:58.428556,1525,FULL
2025-08-15T05:31:59.513744,1525,FULL
2025-08-15T05:32:00.602884,1525,FULL
2025-08-15T05:32:01.691181,1525,FULL
2025-08-15T05:32:02.771392,1525,FULL
2025-08-15T05:32:03.849031,1525,FULL
2025-08-15T05:32:04.926681,1525,FULL
2025-08-15T05:32:06.012919,1525,FULL
2025-08-15T05:32:07.107776,1220,FULL
2025-08-15T05:32:08.193452,1220,FULL
